keyword,line1,line2,line3,line4,line5,score,type
monster,There was a fierce girl named pete,Who got a strange feeling on her feet.,"With her feet on the floor,","Her body was so sore,",It was painful to walk and to eat.,-2.6978152566589415,DTS_NO_STORY
library,There was a professor named lenore,Whose work actually contained more.,"There is stuff like a quote,","He actually wrote,",As he looked out three times in his door.,-4.294142429317747,SINGLE_STORY
death,There was a brave boy named chase,Who suffered a great wound on his face.,"He came back from the war,","And he went to the store,",And that is the history of this place.,-2.561582576144825,DTS_STORY
philosophy,There was a wise teacher named jose,Who learned a great deal on his way.,"In his quest for insight,","He was led by a light,",But he knew his enemies and lay.,-3.3331706874793574,DTS_STORY
evil,There was a cruel witch named simone,Who cursed a small village on her own.,"She came back from the dead,","With a curse on her head,",And the blood on the floor of the throne.,-2.6735660766854004,DTS_NO_STORY
hope,There once was a girl named salvador,Whose family never knew before.,"There is life like a dream,","It actually seem,",As she found out three times in her war.,-4.377311842782157,SINGLE_STORY
car,There once was a nice lady named lee,Whose life went much easier than me.,"She lived out one summer,","In a little drummer,",And played on the funeral sunday.,-4.08534778047491,SINGLE_NO_STORY
art,There was a artist named kyle,Who made a huge impact on my style.,"I would go to a show,","I would take a photo,",And you see that my face has a smile.,-2.6064782828995674,DTS_NO_STORY
noble,There once was a nice lady named lee,Whose son wished always better than he.,"She was out one morning,","In a little mourning,",And came on the funeral sunday.,-4.331152465608385,SINGLE_NO_STORY
child,There was a cruel girl named grace,Who wanted a big cock on her face.,"She came back from the school,","And she got to the pool,",And she looked down and saw our place.,-2.9240913318865225,DTS_STORY
color,There once was a nice lady named lee,Whose life changed much earlier than me.,"She went out one morning,","In a little mourning,",And fell on the beautiful sunday.,-3.6862900455792746,SINGLE_NO_STORY
union,There was a teacher named hee,Who insisted on a class of three.,"I was on the outside,","But i still felt inside,",And it was almost like part of me.,-2.8439596438159547,DTS_NO_STORY
light,There was a loud man named clyde,Who made a long speech on our side.,"He was back from the war,","And he came to the door,","Sat down , and was invited inside.",-2.6822617119178176,DTS_NO_STORY
park,There once was a nice lady named lee,Whose life went much easier than me.,"She lived out one summer,","In a little drummer,",And played on the funeral sunday.,-4.08534778047491,SINGLE_NO_STORY
world,There was a wise man named freda,Whose memory never became dead.,"There is death like a dream,","It usually seem,",As it came out three times in his head.,-4.197635642119816,SINGLE_STORY
time,There was a lady named adolfo,Who did a great job on our show.,"She came back from the day,","She was ready to play,",She was eager to come and to go.,-2.8081557704135776,DTS_STORY
light,There once was a man named faye,Who made all his money in a day.,"He came back from the sky,","With a smile on his eye,",With a new lease of life on his way.,-2.736854964072871,DTS_STORY
dog,There was a husky boy named chase,Who put a big smile on our face.,"He was back from the war,","And he came to the store,",And he went down and saw our place.,-2.5723562439282737,DTS_NO_STORY
night,There once was a nice lady named yer,Whose house had always older than her.,"She lived out one bedroom,","In a tiny bathroom,",And was on the regular transfer.,-3.7821051235552186,SINGLE_NO_STORY
creativity,There was a designer named tyrone,Who learned a great deal on his own.,"He came back from the dead,","And he went to the fed,",And now he has a permanent loan.,-2.8159527104580775,DTS_NO_STORY
library,There was a professor named bok,Who opened a new school on my block.,"His students were so bright,","They were able to write,",They were eager to learn and to talk.,-2.7539221659911077,DTS_NO_STORY
opera,There once was a artist named yer,Whose work really fascinated her.,"There is stuff like a book,","He actually took,",As it turned out two books in his fur.,-4.396002669760492,SINGLE_STORY
law,There was a harsh judge named chere,Whose name immediately brought fear.,"There is death like a storm,","He overheard inform,",As he looked out two doors in his rear.,-4.425364187785557,SINGLE_STORY
funeral,There once was a nice lady named manuel,Whose soul lay somewhere deeper than hell.,"She was out one morning,","In a quiet mourning,",And sat on the elevated well.,-4.096093005604214,SINGLE_NO_STORY
leader,There was a fierce soldier named concepcion,Whose name actually became known.,"There is sound like a man,","He actually ran,",As he called out three times in his tone.,-4.083599127829075,SINGLE_STORY
loss,There once was a doctor named natividad,Who lost all his money in a fraud.,"He came back from the dead,","With a suit on his head,",And he swore that his name is a god.,-2.612082812715979,DTS_NO_STORY
philosophy,There was a professor named corazon,Who learned a great deal on his own.,"He came back from the dead,","He was able to read,",But he lost his memories and tone.,-2.8610699343675328,DTS_NO_STORY
body,There was a skinny girl named freda,Who carried a big bag on her head.,"With her hands on the hips,","With her eyes and her lips,",She was ready to give and to lead.,-2.932320804306955,DTS_STORY
cunning,There was a impostor named hyun,Whose father actually possessed none.,"There is proof like a stone,","He actually shone,",As he said out three times in his son.,-4.563656342881067,SINGLE_STORY
leader,There once was a nice lady named theodore,Whose life led much better than before.,"She went out one morning,","In a quiet mourning,",And fell on the funeral outdoor.,-3.944945651072043,SINGLE_NO_STORY
gun,There was a loud man named mack,Who carried a large bag on his back.,"His eyes were so intense,","He was able to sense,",And he looked down and found his backpack.,-2.6606063799061364,DTS_NO_STORY
body,There once was a nice lady named theodore,Whose house felt much smaller than before.,"She lived out one bedroom,","In a tiny bathroom,",And slept on the comfortable floor.,-3.2845373815960355,SINGLE_NO_STORY
applaud,There was a humble judge named jolie,Whose name really disappointed me.,"There is stuff like a guy,","She literally cry,",As she said out three times in her plea.,-4.27302765420505,SINGLE_STORY
time,There once was a nice lady named theodore,Whose life got much better than before.,"She went out one morning,","In a little mourning,",And sat on the elevated floor.,-3.714629707513032,SINGLE_NO_STORY
art,There was a artist named yee,Whose work really fascinated me.,"There is stuff like a guy,","He actually die,",As he was out two days in his tree.,-4.032357708151851,SINGLE_STORY
random,There was a silly girl named mose,Who happened on one of our shows.,"It was for her birthday,","It was on a sunday,",So she got up and put on the clothes.,-2.8120228758742734,DTS_NO_STORY
violent,There once was a soldier named un,Whose name actually killed someone.,"There is stuff like a guy,","He actually die,",As he was out two days in his gun.,-4.433546564408711,SINGLE_STORY
fire,There was a bright man named jolie,Whose name actually attacked me.,"There is light like a sun,","He actually won,",As he took out two guys in his three.,-4.413443412099566,SINGLE_STORY
doctor,There once was a dentist named nelle,Whose practice actually did well.,"There is stuff like a kid,","He actually did,",As he put out two teeth in his cell.,-4.227977424860001,SINGLE_STORY
weight,There was a doctor named grace,Who put a big smile on our face.,"We got back from the trip,","And we went to the ship,",And we sat down and took our place.,-2.621972265342871,DTS_NO_STORY
exercise,There once was a nice lady named theodore,Whose name meant somewhat less than before.,"She was out one morning,","In a quiet mourning,",And sat on the elevated floor.,-3.993590697094246,SINGLE_NO_STORY
time,There was a lady named flo,Who did a great job on our show.,"It was for her birthday,","It was on a sunday,",And she came down and took my photo.,-2.5285115862084973,DTS_NO_STORY
exercise,There was a wise woman named pei,Who learned a great deal on her way.,"She came back from the pain,","And she went to the rain,",And she sat down and waited her day.,-2.990781282836741,DTS_STORY
working,There was a teacher named yee,Whose name immediately got me.,"There is stuff like a book,","He actually took,",As it turned out two books in his tree.,-4.280608904057382,SINGLE_STORY
angry,There was a loud lady named lyle,Who shouted out our names for a while.,"She came back from the store,","And we walked to the door,",And she looked down and saw our smile.,-2.6577180768504287,DTS_NO_STORY
market,There was a wise farmer named brande,Who managed a small farm on his land.,"He wanted a shotgun,","But he never got one,",So he dug through a hole in the sand.,-2.474821271434907,DTS_NO_STORY
pride,There was a brave boy named chase,Who felt a deep sadness on his face.,"He cried for his mother,","His wife and his brother,",Because he was leaving his birthplace.,-2.693207333827841,DTS_NO_STORY
night,There was a bright girl named chase,Who had a perfect smile on her face.,"But the moment she came,","She was struck by her name,",And she looked down and noticed her place.,-2.6523231663159095,DTS_STORY
ball,There was a silly girl named clyde,Who played a big part on our side.,"She was on the football,","She was on a baseball,",She was able to play and to slide.,-3.120122988422912,DTS_STORY
water,There was a neat cleaner named grace,Who put a big smile on our face.,"His jokes were so funny,","He made so much money,",And that is the beauty of this place.,-2.5142737520077536,DTS_NO_STORY
airplane,There was a neat soldier named ray,Who traveled a great distance each day.,"The captain of his ship,","At the time in the trip,",And the man on the deck of the way.,-3.015169758349657,DTS_STORY
ball,There was a silly girl named jamal,Whose family never played football.,"There is play like a game,","She actually came,",As she called out three times in her ball.,-4.350342429109982,SINGLE_STORY
disease,There was a general named tyree,Who suffered a great wound on his knee.,"He came back from the dead,","With a scar on his head,",And the blood on the floor of the sea.,-2.5368796155294953,DTS_NO_STORY
funeral,There was a brave soldier named laure,Who died on a battlefield of war.,"He came back from the dead,","With a scar on his head,",With his wife and son outside the door.,-2.4209625758230686,DTS_NO_STORY
color,There was a bright artist named paul,Who used a large canvas on his wall.,"It was on the background,","And it was to the ground,",And it was almost like kind of fall.,-3.221483430144872,DTS_STORY
home,There once was a woman named clyde,Whose family never went outside.,"There is fear like a storm,","She suddenly transform,",As she saw out two eyes in her side.,-4.389889227492469,SINGLE_STORY
monster,There was a stupid witch named shea,Who got a black eye on her birthday.,"The day of her nightmare,","She was pulled by her hair,",She was afraid to eat and to play.,-2.934720465913415,DTS_STORY
forest,There once was a man named brande,Who covered an area of land.,"He would go to a lake,","And he went to the break,",And he sat down and started his stand.,-3.2093646795518938,DTS_STORY
library,There once was a teacher named brock,Who opened a small shop on my block.,"The owner of his store,","He 's a man of war,",And he came down and bought our clock.,-3.017684906721115,DTS_STORY
sports,There once was a boy named bridgette,Who owned a small shop on our street.,"He would go to a school,","Get a job at his pool,",And now he is a college athlete.,-2.854105026461184,DTS_STORY
union,There was a teacher named kit,Whose name also represented it.,"There is school like a dream,","I actually scream,",As i lay out two books in my kit.,-4.445085568087442,SINGLE_STORY
sports,There once was a nice lady named paul,Whose name meant much better than football.,"She lived out one summer,","In a little drummer,",And played on the elementary ball.,-4.195109255887844,SINGLE_NO_STORY
water,There was a neat cleaner named kit,Whose name immediately filled it.,"There is smoke like a fire,","He usually retire,",As he was out two days in his kit.,-4.674533950431006,SINGLE_STORY
pride,There was a brave boy named dwight,Who brought all his courage in a fight.,"He fought back from the fear,","And he went to the rear,",With his wife and daughter in the right.,-3.2247340390176484,DTS_STORY
cheat,There once was a nice lady named salvatore,Whose name meant far better than glory.,"She lived out one summer,","In a little drummer,",And played on the principal story.,-4.290722731638838,SINGLE_NO_STORY
scary,There was a stupid witch named bee,Whose name sounded much better than me.,"I looked for her somewhere,","But she never came there,",So i gave up and slept on the tree.,-2.843676062240716,DTS_NO_STORY
funeral,There was a brave soldier named laure,Whose family never died before.,"There is fire like a flame,","He actually came,",As he called out three times in his roar.,-4.215962340256998,SINGLE_STORY
music,There was a boring boy named claudio,Who played a big role on our show.,"He came back from the dead,","He was able to read,",He was willing to learn and to grow.,-2.4420383399992716,DTS_NO_STORY
war,There was a cruel man named tyrone,Who fought a great battle on his own.,"He came back from the dead,","With a crown on his head,",And stood on the imperial throne.,-2.306870976042363,DTS_NO_STORY
animal,There once was a nice lady named yer,Whose house made much easier than her.,"She lived out one bedroom,","In a tiny bathroom,",And worked on the interior fur.,-3.985943716985208,SINGLE_NO_STORY
park,There was a lively man named maire,Whose name immediately went there.,"There is life like a dream,","I actually scream,",As i put out two hands in my hair.,-4.347205996513367,SINGLE_STORY
hope,There was a brave girl named otto,Who did a great job on our show.,"She came back from the way,","She was able to say,","Well , i will tell you something , you know.",-2.7444806012927607,DTS_STORY
