id|text
339|Unlook 'd for joy in that I honour most .
340|Great princes ' favourites their fair leaves spread
341|But as the marigold at the sun 's eye ,
342|And in themselves their pride lies buried ,
343|For at a frown they in their glory die .
344|The painful warrior famoused for fight ,
345|After a thousand victories once foil 'd ,
346|Is from the book of honour razed quite ,
347|And all the rest forgot for which he toil 'd :
348|Then happy I , that love and am belov 'd ,
349|Where I may not remove nor be remov 'd .
350|Lord of my love , to whom in vassalage
351|Thy merit hath my duty strongly knit ,
352|To thee I send this written embassage ,
353|To witness duty , not to show my wit :
354|Duty so great , which wit so poor as mine
355|May make seem bare , in wanting words to show it ,
356|But that I hope some good conceit of thine
357|In thy soul 's thought , all naked , will bestow it :
358|Till whatsoever star that guides my moving ,
359|Points on me graciously with fair aspect ,
360|And puts apparel on my tatter 'd loving ,
361|To show me worthy of thy sweet respect :
362|Then may I dare to boast how I do love thee ;
363|Till then , not show my head where thou mayst prove me .
364|Weary with toil , I haste me to my bed ,
365|The dear respose for limbs with travel tir 'd ;
366|But then begins a journey in my head
367|To work my mind , when body 's work 's expired :
368|For then my thoughts -- from far where I abide --
369|Intend a zealous pilgrimage to thee ,
370|And keep my drooping eyelids open wide ,
371|Looking on darkness which the blind do see :
372|Save that my soul 's imaginary sight
373|Presents thy shadow to my sightless view ,
374|Which , like a jewel hung in ghastly night ,
375|Makes black night beauteous , and her old face new .
376|Lo ! thus , by day my limbs , by night my mind ,
377|For thee , and for myself , no quiet find .
378|How can I then return in happy plight ,
379|That am debarre 'd the benefit of rest ?
380|When day 's oppression is not eas 'd by night ,
381|But day by night and night by day oppress 'd ,
382|And each , though enemies to either 's reign ,
383|Do in consent shake hands to torture me ,
384|The one by toil , the other to complain
385|How far I toil , still farther off from thee .
386|I tell the day , to please him thou art bright ,
387|And dost him grace when clouds do blot the heaven :
388|So flatter I the swart-complexion 'd night ,
389|When sparkling stars twire not thou gild ` st the even .
390|But day doth daily draw my sorrows longer ,
391|And night doth nightly make grief 's length seem stronger .
392|When in disgrace with fortune and men 's eyes
393|I all alone beweep my outcast state ,
394|And trouble deaf heaven with my bootless cries ,
395|And look upon myself , and curse my fate ,
396|Wishing me like to one more rich in hope ,
397|Featur 'd like him , like him with friends possess 'd ,
398|Desiring this man 's art , and that man 's scope ,
399|With what I most enjoy contented least ;
400|Yet in these thoughts my self almost despising ,
401|Haply I think on thee , -- and then my state ,
402|Like to the lark at break of day arising
403|From sullen earth , sings hymns at heaven 's gate ;
404|For thy sweet love remember 'd such wealth brings
405|That then I scorn to change my state with kings .
406|When to the sessions of sweet silent thought
407|I summon up remembrance of things past ,
408|I sigh the lack of many a thing I sought ,
409|And with old woes new wail my dear time 's waste :
410|Then can I drown an eye , unused to flow ,
411|For precious friends hid in death 's dateless night ,
412|And weep afresh love 's long since cancell 'd woe ,
413|And moan the expense of many a vanish 'd sight :
414|Then can I grieve at grievances foregone ,
415|And heavily from woe to woe tell o'er
416|The sad account of fore-bemoaned moan ,
417|Which I new pay as if not paid before .
418|But if the while I think on thee , dear friend ,
419|All losses are restor 'd and sorrows end .
420|Thy bosom is endeared with all hearts ,
421|Which I by lacking have supposed dead ;
422|And there reigns Love , and all Love 's loving parts ,
423|And all those friends which I thought buried .
424|How many a holy and obsequious tear
425|Hath dear religious love stol 'n from mine eye ,
426|As interest of the dead , which now appear
427|But things remov 'd that hidden in thee lie !
428|Thou art the grave where buried love doth live ,
429|Hung with the trophies of my lovers gone ,
430|Who all their parts of me to thee did give ,
431|That due of many now is thine alone :
432|Their images I lov 'd , I view in thee ,
433|And thou -- all they -- hast all the all of me .
434|If thou survive my well-contented day ,
435|When that churl Death my bones with dust shall cover
436|And shalt by fortune once more re-survey
437|These poor rude lines of thy deceased lover ,
438|Compare them with the bett ` ring of the time ,
439|And though they be outstripp 'd by every pen ,
440|Reserve them for my love , not for their rhyme ,
441|Exceeded by the height of happier men .
442|O ! then vouchsafe me but this loving thought :
443|` Had my friend 's Muse grown with this growing age ,
444|A dearer birth than this his love had brought ,
445|To march in ranks of better equipage :
446|But since he died and poets better prove ,
447|Theirs for their style I 'll read , his for his love ' .
448|Full many a glorious morning have I seen
449|Flatter the mountain tops with sovereign eye ,
450|Kissing with golden face the meadows green ,
451|Gilding pale streams with heavenly alchemy ;
452|Anon permit the basest clouds to ride
453|With ugly rack on his celestial face ,
454|And from the forlorn world his visage hide ,
455|Stealing unseen to west with this disgrace :
456|Even so my sun one early morn did shine ,
457|With all triumphant splendour on my brow ;
458|But out ! alack ! he was but one hour mine ,
459|The region cloud hath mask 'd him from me now .
460|Yet him for this my love no whit disdaineth ;
461|Suns of the world may stain when heaven 's sun staineth .
462|Why didst thou promise such a beauteous day ,
463|And make me travel forth without my cloak ,
464|To let base clouds o'ertake me in my way ,
465|Hiding thy bravery in their rotten smoke ?
466|` Tis not enough that through the cloud thou break ,
467|To dry the rain on my storm-beaten face ,
468|For no man well of such a salve can speak ,
469|That heals the wound , and cures not the disgrace :
470|Nor can thy shame give physic to my grief ;
471|Though thou repent , yet I have still the loss :
472|The offender 's sorrow lends but weak relief
473|To him that bears the strong offence 's cross .
474|Ah ! but those tears are pearl which thy love sheds ,
475|And they are rich and ransom all ill deeds .
476|No more be griev 'd at that which thou hast done :
477|Roses have thorns , and silver fountains mud :
478|Clouds and eclipses stain both moon and sun ,
479|And loathsome canker lives in sweetest bud .
480|All men make faults , and even I in this ,
481|Authorizing thy trespass with compare ,
482|Myself corrupting , salving thy amiss ,
483|Excusing thy sins more than thy sins are ;
484|For to thy sensual fault I bring in sense , --
485|Thy adverse party is thy advocate , --
486|And ` gainst myself a lawful plea commence :
487|Such civil war is in my love and hate ,
488|That I an accessary needs must be ,
489|To that sweet thief which sourly robs from me .
490|Let me confess that we two must be twain ,
491|Although our undivided loves are one :
492|So shall those blots that do with me remain ,
493|Without thy help , by me be borne alone .
494|In our two loves there is but one respect ,
495|Though in our lives a separable spite ,
496|Which though it alter not love 's sole effect ,
497|Yet doth it steal sweet hours from love 's delight .
498|I may not evermore acknowledge thee ,
499|Lest my bewailed guilt should do thee shame ,
500|Nor thou with public kindness honour me ,
501|Unless thou take that honour from thy name :
502|But do not so , I love thee in such sort ,
503|As thou being mine , mine is thy good report .
504|As a decrepit father takes delight
505|To see his active child do deeds of youth ,
506|So I , made lame by Fortune 's dearest spite ,
507|Take all my comfort of thy worth and truth ;
508|For whether beauty , birth , or wealth , or wit ,
509|Or any of these all , or all , or more ,
510|Entitled in thy parts , do crowned sit ,
511|I make my love engrafted , to this store :
512|So then I am not lame , poor , nor despis 'd ,
513|Whilst that this shadow doth such substance give
514|That I in thy abundance am suffic 'd ,
515|And by a part of all thy glory live .
516|Look what is best , that best I wish in thee :
517|This wish I have ; then ten times happy me !
518|How can my muse want subject to invent ,
519|While thou dost breathe , that pour ` st into my verse
520|Thine own sweet argument , too excellent
521|For every vulgar paper to rehearse ?
522|O ! give thy self the thanks , if aught in me
523|Worthy perusal stand against thy sight ;
524|For who 's so dumb that can not write to thee ,
525|When thou thy self dost give invention light ?
526|Be thou the tenth Muse , ten times more in worth
527|Than those old nine which rhymers invocate ;
528|And he that calls on thee , let him bring forth
529|Eternal numbers to outlive long date .
530|If my slight muse do please these curious days ,
531|The pain be mine , but thine shall be the praise .
532|O ! how thy worth with manners may I sing ,
533|When thou art all the better part of me ?
534|What can mine own praise to mine own self bring ?
535|And what is ' t but mine own when I praise thee ?
536|Even for this , let us divided live ,
537|And our dear love lose name of single one ,
538|That by this separation I may give
539|That due to thee which thou deserv ` st alone .
540|O absence ! what a torment wouldst thou prove ,
541|Were it not thy sour leisure gave sweet leave ,
542|To entertain the time with thoughts of love ,
543|Which time and thoughts so sweetly doth deceive ,
544|And that thou teachest how to make one twain ,
545|By praising him here who doth hence remain .
546|Take all my loves , my love , yea take them all ;
547|What hast thou then more than thou hadst before ?
548|No love , my love , that thou mayst true love call ;
549|All mine was thine , before thou hadst this more .
550|Then , if for my love , thou my love receivest ,
551|I can not blame thee , for my love thou usest ;
552|But yet be blam 'd , if thou thy self deceivest
553|By wilful taste of what thyself refusest .
554|I do forgive thy robbery , gentle thief ,
555|Although thou steal thee all my poverty :
556|And yet , love knows it is a greater grief
557|To bear love 's wrong , than hate 's known injury .
558|Lascivious grace , in whom all ill well shows ,
559|Kill me with spites yet we must not be foes .
560|Those pretty wrongs that liberty commits ,
561|When I am sometime absent from thy heart ,
562|Thy beauty , and thy years full well befits ,
563|For still temptation follows where thou art .
564|Gentle thou art , and therefore to be won ,
565|Beauteous thou art , therefore to be assail 'd ;
566|And when a woman woos , what woman 's son
567|Will sourly leave her till he have prevail 'd ?
568|Ay me ! but yet thou mightst my seat forbear ,
569|And chide thy beauty and thy straying youth ,
570|Who lead thee in their riot even there
571|Where thou art forced to break a twofold truth : --
572|Hers by thy beauty tempting her to thee ,
573|Thine by thy beauty being false to me .
574|That thou hast her it is not all my grief ,
575|And yet it may be said I loved her dearly ;
576|That she hath thee is of my wailing chief ,
577|A loss in love that touches me more nearly .
578|Loving offenders thus I will excuse ye :
579|Thou dost love her , because thou know ` st I love her ;
580|And for my sake even so doth she abuse me ,
581|Suffering my friend for my sake to approve her .
582|If I lose thee , my loss is my love 's gain ,
583|And losing her , my friend hath found that loss ;
584|Both find each other , and I lose both twain ,
585|And both for my sake lay on me this cross :
586|But here 's the joy ; my friend and I are one ;
587|Sweet flattery ! then she loves but me alone .
588|When most I wink , then do mine eyes best see ,
589|For all the day they view things unrespected ;
590|But when I sleep , in dreams they look on thee ,
591|And darkly bright , are bright in dark directed .
592|Then thou , whose shadow shadows doth make bright ,
593|How would thy shadow 's form form happy show
594|To the clear day with thy much clearer light ,
595|When to unseeing eyes thy shade shines so !
596|How would , I say , mine eyes be blessed made
597|By looking on thee in the living day ,
598|When in dead night thy fair imperfect shade
599|Through heavy sleep on sightless eyes doth stay !
600|All days are nights to see till I see thee ,
601|And nights bright days when dreams do show thee me .
602|If the dull substance of my flesh were thought ,
603|Injurious distance should not stop my way ;
604|For then despite of space I would be brought ,
605|From limits far remote , where thou dost stay .
606|No matter then although my foot did stand
607|Upon the farthest earth remov 'd from thee ;
608|For nimble thought can jump both sea and land ,
609|As soon as think the place where he would be .
610|But , ah ! thought kills me that I am not thought ,
611|To leap large lengths of miles when thou art gone ,
612|But that so much of earth and water wrought ,
613|I must attend time 's leisure with my moan ;
614|Receiving nought by elements so slow
615|But heavy tears , badges of either 's woe .
616|The other two , slight air , and purging fire
617|Are both with thee , wherever I abide ;
618|The first my thought , the other my desire ,
619|These present-absent with swift motion slide .
620|For when these quicker elements are gone
621|In tender embassy of love to thee ,
622|My life , being made of four , with two alone
623|Sinks down to death , oppress 'd with melancholy ;
624|Until life 's composition be recur 'd
625|By those swift messengers return 'd from thee ,
626|Who even but now come back again , assur 'd ,
627|Of thy fair health , recounting it to me :
628|This told , I joy ; but then no longer glad ,
629|I send them back again , and straight grow sad .
630|Mine eye and heart are at a mortal war ,
631|How to divide the conquest of thy sight ;
632|Mine eye my heart thy picture 's sight would bar ,
633|My heart mine eye the freedom of that right .
634|My heart doth plead that thou in him dost lie , --
635|A closet never pierc 'd with crystal eyes --
636|But the defendant doth that plea deny ,
637|And says in him thy fair appearance lies .
638|To side this title is impannelled
639|A quest of thoughts , all tenants to the heart ;
640|And by their verdict is determined
641|The clear eye 's moiety , and the dear heart 's part :
642|As thus ; mine eye 's due is thy outward part ,
643|And my heart 's right , thy inward love of heart .
644|Betwixt mine eye and heart a league is took ,
645|And each doth good turns now unto the other :
646|When that mine eye is famish 'd for a look ,
647|Or heart in love with sighs himself doth smother ,
648|With my love 's picture then my eye doth feast ,
649|And to the painted banquet bids my heart ;
650|Another time mine eye is my heart 's guest ,
651|And in his thoughts of love doth share a part :
652|So , either by thy picture or my love ,
653|Thy self away , art present still with me ;
654|For thou not farther than my thoughts canst move ,
655|And I am still with them , and they with thee ;
656|Or , if they sleep , thy picture in my sight
657|Awakes my heart , to heart 's and eye 's delight .
658|How careful was I when I took my way ,
659|Each trifle under truest bars to thrust ,
660|That to my use it might unused stay
661|From hands of falsehood , in sure wards of trust !
662|But thou , to whom my jewels trifles are ,
663|Most worthy comfort , now my greatest grief ,
664|Thou best of dearest , and mine only care ,
665|Art left the prey of every vulgar thief .
666|Thee have I not lock 'd up in any chest ,
667|Save where thou art not , though I feel thou art ,
668|Within the gentle closure of my breast ,
669|From whence at pleasure thou mayst come and part ;
670|And even thence thou wilt be stol 'n I fear ,
671|For truth proves thievish for a prize so dear .
672|Against that time , if ever that time come ,
673|When I shall see thee frown on my defects ,
674|When as thy love hath cast his utmost sum ,
675|Call 'd to that audit by advis 'd respects ;
676|Against that time when thou shalt strangely pass ,
677|And scarcely greet me with that sun , thine eye ,
678|When love , converted from the thing it was ,
679|Shall reasons find of settled gravity ;
680|Against that time do I ensconce me here ,
681|Within the knowledge of mine own desert ,
682|And this my hand , against my self uprear ,
683|To guard the lawful reasons on thy part :
684|To leave poor me thou hast the strength of laws ,
685|Since why to love I can allege no cause .
686|How heavy do I journey on the way ,
687|When what I seek , my weary travel 's end ,
688|Doth teach that ease and that repose to say ,
689|` Thus far the miles are measured from thy friend ! '
690|The beast that bears me , tired with my woe ,
691|Plods dully on , to bear that weight in me ,
692|As if by some instinct the wretch did know
693|His rider lov 'd not speed , being made from thee :
694|The bloody spur can not provoke him on ,
695|That sometimes anger thrusts into his hide ,
696|Which heavily he answers with a groan ,
697|More sharp to me than spurring to his side ;
698|For that same groan doth put this in my mind ,
699|My grief lies onward , and my joy behind .
700|Thus can my love excuse the slow offence
701|Of my dull bearer when from thee I speed :
702|From where thou art why should I haste me thence ?
703|Till I return , of posting is no need .
704|O ! what excuse will my poor beast then find ,
705|When swift extremity can seem but slow ?
706|Then should I spur , though mounted on the wind ,
707|In winged speed no motion shall I know ,
708|Then can no horse with my desire keep pace ;
709|Therefore desire , of perfect ` st love being made ,
710|Shall neigh -- no dull flesh -- in his fiery race ;
711|But love , for love , thus shall excuse my jade , --
712|` Since from thee going , he went wilful-slow ,
713|Towards thee I 'll run , and give him leave to go . '
714|So am I as the rich , whose blessed key ,
715|Can bring him to his sweet up-locked treasure ,
716|The which he will not every hour survey ,
717|For blunting the fine point of seldom pleasure .
718|Therefore are feasts so solemn and so rare ,
719|Since , seldom coming in that long year set ,
720|Like stones of worth they thinly placed are ,
721|Or captain jewels in the carcanet .
722|So is the time that keeps you as my chest ,
723|Or as the wardrobe which the robe doth hide ,
724|To make some special instant special-blest ,
725|By new unfolding his imprison 'd pride .
726|Blessed are you whose worthiness gives scope ,
727|Being had , to triumph ; being lacked , to hope .
728|What is your substance , whereof are you made ,
729|That millions of strange shadows on you tend ?
730|Since every one , hath every one , one shade ,
